05-15 05:19:22.927 19766 19935 D AppLog  : User:001 ; Type:server_ack ; Message:j ; MessageID:13 ; Time:05:19:22.927
05-15 05:19:23.234 19766 19935 D AppLog  : User:001 ; Type:receiver_ack ; Message:j ; MessageID:13 ; Time:05:19:23.234
05-15 05:20:10.870 19766 19766 D AppLog  : User:002 ; Type:new_msg ; Message:f ; MessageID:1 ; Time:05:20:10.865
05-15 05:20:11.452 19766 19935 D AppLog  : User:002 ; Type:server_ack ; Message:f ; MessageID:1 ; Time:05:20:11.451
05-15 05:20:11.759 19766 19935 D AppLog  : User:002 ; Type:receiver_ack ; Message:f ; MessageID:1 ; Time:05:20:11.759
05-15 05:20:13.056 19766 19766 D AppLog  : User:002 ; Type:new_msg ; Message:i ; MessageID:3 ; Time:05:20:13.051
05-15 05:20:13.573 19766 19935 D AppLog  : User:002 ; Type:server_ack ; Message:i ; MessageID:3 ; Time:05:20:13.573
05-15 05:20:13.845 19766 19935 D AppLog  : User:002 ; Type:receiver_ack ; Message:i ; MessageID:3 ; Time:05:20:13.845
05-15 05:20:15.126 19766 19766 D AppLog  : User:002 ; Type:new_msg ; Message:r ; MessageID:5 ; Time:05:20:15.121
05-15 05:20:15.601 19766 19935 D AppLog  : User:002 ; Type:server_ack ; Message:r ; MessageID:5 ; Time:05:20:15.601
05-15 05:20:15.879 19766 19935 D AppLog  : User:002 ; Type:receiver_ack ; Message:r ; MessageID:5 ; Time:05:20:15.878
05-15 05:20:17.311 19766 19766 D AppLog  : User:002 ; Type:new_msg ; Message:j ; MessageID:7 ; Time:05:20:17.307
05-15 05:20:17.861 19766 19935 D AppLog  : User:002 ; Type:server_ack ; Message:j ; MessageID:7 ; Time:05:20:17.860
05-15 05:20:18.167 19766 19935 D AppLog  : User:002 ; Type:receiver_ack ; Message:j ; MessageID:7 ; Time:05:20:18.166
05-15 05:20:19.916 19766 19766 D AppLog  : User:002 ; Type:new_msg ; Message:d ; MessageID:9 ; Time:05:20:19.912
05-15 05:20:20.383 19766 19935 D AppLog  : User:002 ; Type:server_ack ; Message:d ; MessageID:9 ; Time:05:20:20.383
05-15 05:20:20.665 19766 19935 D AppLog  : User:002 ; Type:receiver_ack ; Message:d ; MessageID:9 ; Time:05:20:20.665
05-15 05:20:22.534 19766 19766 D AppLog  : User:002 ; Type:new_msg ; Message:r ; MessageID:11 ; Time:05:20:22.531
05-15 05:20:22.944 19766 19935 D AppLog  : User:002 ; Type:server_ack ; Message:r ; MessageID:11 ; Time:05:20:22.944
05-15 05:20:23.248 19766 19935 D AppLog  : User:002 ; Type:receiver_ack ; Message:r ; MessageID:11 ; Time:05:20:23.247
05-15 05:20:24.976 19766 19766 D AppLog  : User:002 ; Type:new_msg ; Message:h ; MessageID:13 ; Time:05:20:24.971
05-15 05:20:25.445 19766 19935 D AppLog  : User:002 ; Type:server_ack ; Message:h ; MessageID:13 ; Time:05:20:25.445
05-15 05:20:25.756 19766 19935 D AppLog  : User:002 ; Type:receiver_ack ; Message:h ; MessageID:13 ; Time:05:20:25.756
05-15 05:20:27.465 19766 19766 D AppLog  : User:002 ; Type:new_msg ; Message:m ; MessageID:15 ; Time:05:20:27.460
05-15 05:20:28.035 19766 19935 D AppLog  : User:002 ; Type:server_ack ; Message:m ; MessageID:15 ; Time:05:20:28.034
05-15 05:20:28.327 19766 19935 D AppLog  : User:002 ; Type:receiver_ack ; Message:m ; MessageID:15 ; Time:05:20:28.327
05-15 05:20:45.654 19766 19766 D AppLog  : User:003 ; Type:new_msg ; Message:f ; MessageID:1 ; Time:05:20:45.646
05-15 05:20:46.625 19766 20159 D AppLog  : User:003 ; Type:server_ack ; Message:f ; MessageID:1 ; Time:05:20:46.625
05-15 05:20:46.808 19766 20159 D AppLog  : User:003 ; Type:receiver_ack ; Message:f ; MessageID:1 ; Time:05:20:46.808
05-15 05:20:47.554 19766 19766 D AppLog  : User:003 ; Type:new_msg ; Message:i ; MessageID:2 ; Time:05:20:47.549
